capturing 60s on Command|8:Command|8 MIDI 1 24:0 ...
note_on n=5 v=64                 -> FaderTouchEvent(fader=0, touched=True)
cc c=17 v=4                      -> FaderMoveEvent(fader=1, value=4, value10=34)
cc c=49 v=4                      -> FaderMoveEvent(fader=1, value=4, value10=38)
cc c=25 v=5                      -> FaderMoveEvent(fader=1, value=5, value10=43)
cc c=1 v=6                       -> FaderMoveEvent(fader=1, value=6, value10=48)
cc c=49 v=6                      -> FaderMoveEvent(fader=1, value=6, value10=54)
cc c=25 v=7                      -> FaderMoveEvent(fader=1, value=7, value10=59)
cc c=17 v=8                      -> FaderMoveEvent(fader=1, value=8, value10=66)
cc c=1 v=9                       -> FaderMoveEvent(fader=1, value=9, value10=72)
cc c=57 v=9                      -> FaderMoveEvent(fader=1, value=9, value10=79)
cc c=49 v=10                     -> FaderMoveEvent(fader=1, value=10, value10=86)
cc c=41 v=11                     -> FaderMoveEvent(fader=1, value=11, value10=93)
cc c=41 v=12                     -> FaderMoveEvent(fader=1, value=12, value10=101)
cc c=33 v=13                     -> FaderMoveEvent(fader=1, value=13, value10=108)
cc c=33 v=14                     -> FaderMoveEvent(fader=1, value=14, value10=116)
cc c=33 v=15                     -> FaderMoveEvent(fader=1, value=15, value10=124)
cc c=41 v=16                     -> FaderMoveEvent(fader=1, value=16, value10=133)
cc c=41 v=17                     -> FaderMoveEvent(fader=1, value=17, value10=141)
cc c=49 v=18                     -> FaderMoveEvent(fader=1, value=18, value10=150)
cc c=57 v=19                     -> FaderMoveEvent(fader=1, value=19, value10=159)
cc c=1 v=21                      -> FaderMoveEvent(fader=1, value=21, value10=168)
cc c=17 v=22                     -> FaderMoveEvent(fader=1, value=22, value10=178)
cc c=33 v=23                     -> FaderMoveEvent(fader=1, value=23, value10=188)
cc c=49 v=24                     -> FaderMoveEvent(fader=1, value=24, value10=198)
cc c=1 v=26                      -> FaderMoveEvent(fader=1, value=26, value10=208)
cc c=17 v=27                     -> FaderMoveEvent(fader=1, value=27, value10=218)
cc c=41 v=28                     -> FaderMoveEvent(fader=1, value=28, value10=229)
cc c=57 v=29                     -> FaderMoveEvent(fader=1, value=29, value10=239)
cc c=17 v=31                     -> FaderMoveEvent(fader=1, value=31, value10=250)
cc c=41 v=32                     -> FaderMoveEvent(fader=1, value=32, value10=261)
cc c=1 v=34                      -> FaderMoveEvent(fader=1, value=34, value10=272)
cc c=25 v=35                     -> FaderMoveEvent(fader=1, value=35, value10=283)
cc c=41 v=36                     -> FaderMoveEvent(fader=1, value=36, value10=293)
cc c=1 v=38                      -> FaderMoveEvent(fader=1, value=38, value10=304)
cc c=25 v=39                     -> FaderMoveEvent(fader=1, value=39, value10=315)
